Date,Total,Export,Import,Balance
2019.01,"397,594","218,003","179,591","38,412"
2019.02,"267,608","135,324","132,284","3,039"
2019.03,"365,000","198,232","166,769","31,463"
2019.04,"374,020","193,551","180,469","13,082"
2019.05,"386,579","213,920","172,659","41,260"
2019.06,"375,222","212,406","162,816","49,590"
2019.07,"399,484","221,784","177,700","44,084"
2019.08,"395,094","214,852","180,243","34,609"
2019.09,"397,375","218,196","179,179","39,017"
2019.10,"383,503","213,025","170,478","42,547"
2019.11,"405,322","221,470","183,852","37,618"
2019.12,"429,325","238,268","191,057","47,210"
2020.01,"368,508","211,588","156,921","54,667"
2020.02,"222,751","80,379","142,372","-61,992"
2020.03,"349,175","184,572","164,603","19,969"
2020.04,"354,030","199,483","154,547","44,937"
2020.05,"351,240","206,428","144,811","61,617"
2020.06,"381,014","212,847","168,167","44,680"
2020.07,"413,369","236,839","176,530","60,309"
2020.08,"411,645","234,373","177,272","57,101"
2020.09,"441,882","238,613","203,269","35,344"
2020.10,"415,138","236,230","178,908","57,322"
2020.11,"459,576","266,912","192,663","74,249"
2020.12,"487,586","281,688","205,898","75,790"
2021.01,"465,603","263,628","201,975","61,653"
2021.02,"374,015","204,636","169,379","35,257"
2021.03,"469,735","240,733","229,001","11,732"
2021.04,"486,049","263,425","222,624","40,801"
2021.05,"484,049","263,612","220,436","43,176"
2021.06,"511,985","281,014","230,971","50,042"
2021.07,"508,738","282,265","226,473","55,792"
2021.08,"528,667","293,932","234,735","59,196"
2021.09,"542,459","305,256","237,203","68,053"
2021.10,"514,352","299,574","214,778","84,797"
2021.11,"577,873","324,778","253,094","71,684"
2021.12,"586,697","340,217","246,481","93,736"
2022.01,"570,675","327,064","243,610","83,454"
2022.02,"405,828","217,409","188,420","28,989"
2022.03,"505,165","275,562","229,603","45,959"
2022.04,"495,821","273,257","222,564","50,693"
2022.05,"537,049","307,724","229,325","78,399"
2022.06,"564,587","331,264","233,323","97,941"
2022.07,"564,660","332,960","231,700","101,260"